故事91: 千金归来_复仇计划 - 词汇表

序号,词汇,中文释义,出现次数
104,"coverage","报道",1
105,"cruel","残酷",1
106,"data","数据",1
107,"dedicate","奉献",1
108,"deliver","发表",1
109,"deserve","值得",1
110,"destination","目的地",1
111,"determination","决心",1
112,"determine","决心",1
113,"determined","坚定",1
114,"devote","奉献",1
115,"disguise","伪装",1
116,"document","文件",1
117,"documentary","记录的",1
118,"donate","捐赠",1
119,"earn","获得",1
120,"echo","回响",1
121,"eloquent","雄辩的",1
122,"embrace","拥抱",1
123,"emerge","出现",1
124,"emphasize","强调",1
125,"encourage","鼓励",1
126,"endure","忍受",2
127,"enormous","巨大的",1
128,"enthusiastic","热情的",1
129,"era","时代",1
130,"erupt","爆发",1
131,"establish","建立",1
132,"eventually","最终",1
133,"evidence","证据",1
134,"excited","激动",1
135,"exist","存在",2
136,"extensive","广泛的",1
137,"fair","公平",1
138,"fate","命运",1
139,"finally","终于",1
140,"firmly","坚定地",1
141,"foundation","基金会",1
142,"fraud","欺诈",1
143,"fulfill","充实",1
144,"future","未来",1
145,"gaze","凝视",1
146,"generation","一代",1
147,"generosity","慷慨",1
148,"glorious","光荣的",1
149,"guilt","罪行",1
150,"hazard","危险",1
151,"help","帮助",2
152,"host","主持",1
153,"humble","卑微的",1
154,"incredible","难以置信的",1
155,"influence","影响",1
156,"initiative","倡议",1
157,"inner","内心的",1
158,"inquire","询问",2
159,"insight","洞察力",1
160,"inspire","激励",4
161,"integrity","正直",1
162,"interview","面试",1
163,"journey","旅程",1
164,"justice","正义",3
165,"legacy","遗产",1
166,"luxurious","奢华",1
167,"mark","标记",1
168,"message","信息",1
169,"negative","消极的",1
170,"nervous","紧张",1
171,"never","从不",1
172,"nevertheless","然而",1
173,"numerous","许多的",2
174,"objective","目标",1
175,"occupation","职业",1
176,"occupy","占据",1
177,"opportunity","机会",1
178,"overcome","克服",1
179,"passion","热情",1
180,"patient","耐心",1
181,"perpetuate","使永存",1
182,"perseverance","坚持",1
183,"perspective","观点",1
184,"philosophy","哲学",2
185,"portion","部分",1
186,"positive","积极的",1
187,"prepare","准备",1
188,"prestigious","有声望的",1
189,"prevail","盛行",2
190,"proclaim","宣称",1
191,"profound","深刻的",1
192,"prominent","杰出的",1
193,"promise","承诺",1
194,"promote","促进",1
195,"protege","被保护者",1
196,"proud","自豪",2
197,"prove","证明",1
198,"pursue","追求",2
199,"qualification","资格",1
200,"recall","回忆",1
201,"recognition","认可",1
202,"relief","释然",1
203,"remind","提醒",1
204,"reputation","名誉",1
205,"respect","尊重",3
206,"respond","回应",1
207,"secret","暗中",1
208,"share","分享",1
209,"significance","意义",2
210,"silent","寂静的",1
211,"smart","聪明",1
212,"smile","微笑",1
213,"smoothly","顺利",1
214,"sophisticated","复杂的",1
215,"spacious","宽敞的",1
216,"speech","演讲",1
217,"spend","花费",1
218,"strategy","策略",1
219,"strong","坚强",1
220,"subsequent","随后的",2
221,"successful","成功",1
222,"symbolizing","象征",1
223,"tale","故事",1
224,"thus","因此",1
225,"triumph","胜利",2
226,"ultimately","最终",1
227,"universal","普遍的",1
228,"value","价值",1
229,"victim","受害者",1
230,"voice","声音",1
231,"whisper","低语",1
232,"widespread","广泛的",1
233,"wisdom","智慧",3
234,"workshop","研讨会",1
235,"worried","担忧",1
236,"young","年轻的",1

统计信息
词汇总数,236个
总出现次数,273次
