序号,单词,音标,词性,中文
286,feasible,/feasible/,adj.,可行的
287,adjust,/adjust/,v./n.,调整
288,know,/know/,v./n.,了解
289,acknowledge,/acknowledge/,v./n.,承认
290,begin,/begin/,v./n.,开始
291,effort,/effort/,v./n.,努力
292,persist,/persist/,v./n.,坚持
293,increase,/increase/,v./n.,增加
294,opportunity,/opportunity/,n.,机会
295,trust,/trust/,v./n.,信任
296,test,/test/,v./n.,考验
297,plan,/plan/,v./n.,计划
298,schedule,/schedule/,v./n.,时间表
299,budget,/budget/,v./n.,预算
300,allocate,/allocate/,v.,分配
301,smile,/smile/,v./n.,微笑
302,lead,/lead/,v./n.,领导
303,assign,/assign/,v./n.,指派
304,journey,/journey/,v./n.,旅程
305,fade,/fade/,v./n.,流逝
306,blur,/blur/,v./n.,模糊
307,desperate,/desperate/,v.,绝望的
308,respond,/respond/,v./n.,回应
309,fragment,/fragment/,n.,片段
310,betray,/betray/,v./n.,背叛
311,dream,/dream/,v./n.,梦想
312,end,/end/,v./n.,结束了
313,room,/room/,v./n.,房间
314,curtain,/curtain/,v./n.,窗帘
315,familiar,/familiar/,adj.,熟悉的
316,beat,/beat/,v./n.,跳动
317,photo,/photo/,v./n.,照片
318,realize,/realize/,v.,意识到
319,rebirth,/rebirth/,v./n.,重生
320,vivid,/vivid/,adj.,生动的
321,transform,/transform/,v./n.,转型
322,revolution,/revolution/,n.,革命
323,experience,/experience/,n.,经历
324,tragic,/tragic/,adj.,悲剧的
325,emotion,/emotion/,n.,情感
326,fluctuate,/fluctuate/,v.,波动
327,interweave,/interweave/,v./n.,交织
328,suffer,/suffer/,v./n.,遭受
329,stagnate,/stagnate/,v.,停滞
330,vision,/vision/,n.,视野
331,regret,/regret/,v./n.,遗憾
332,sorrow,/sorrow/,v./n.,悲哀
333,reflection,/reflection/,n.,反思
334,live,/live/,adj.,活
335,cherish,/cherish/,v./n.,珍惜
336,arrangement,/arrangement/,n.,安排
337,strong,/strong/,v./n.,强者
338,graduate,/graduate/,v.,毕业
339,enterprise,/enterprise/,v./n.,企业
340,boring,/boring/,adj.,枯燥的
341,gradual,/gradual/,adj.,逐渐的
342,pain,/pain/,v./n.,痛苦
343,decision,/decision/,n.,决定
344,reject,/reject/,v./n.,拒绝
345,pursue,/pursue/,v./n.,追求
346,industry,/industry/,v./n.,行业
347,electronic,/electronic/,v./n.,电子
348,reshape,/reshape/,v./n.,重塑
349,era,/era/,v./n.,时代
350,grow,/grow/,v./n.,增长
351,wealth,/wealth/,v./n.,财富
352,miracle,/miracle/,v./n.,奇迹
353,small,/small/,adj.,小的
354,network,/network/,v./n.,人脉
355,brand,/brand/,v./n.,品牌
356,wisdom,/wisdom/,v./n.,智慧
357,difficulty,/difficulty/,v./n.,困难
358,stress,/stress/,v./n.,压力
359,dilemma,/dilemma/,v./n.,困境
360,oppose,/oppose/,v./n.,反对
361,drive,/drive/,adj.,推动
362,courage,/courage/,v./n.,勇气
363,conquer,/conquer/,v./n.,征服
364,peak,/peak/,v./n.,山峰
365,fail,/fail/,v./n.,失败
366,prelude,/prelude/,v./n.,前奏
367,power,/power/,v./n.,力量
368,motive,/motive/,adj.,动力
369,absorb,/absorb/,v./n.,吸收
370,forum,/forum/,v./n.,论坛
371,advantage,/advantage/,v./n.,优势
372,succeed,/succeed/,v./n.,成功
373,profit,/profit/,v./n.,盈利
374,foresight,/foresight/,v./n.,预见
375,energy,/energy/,v./n.,精力
376,state,/state/,v.,状态
377,struggle,/struggle/,v./n.,挣扎
378,expect,/expect/,v./n.,预期
379,entrepreneur,/entrepreneur/,v./n.,创业者
380,reputation,/reputation/,n.,声誉
381,contact,/contact/,v./n.,联系
382,intention,/intention/,n.,意向
383,business,/business/,n.,事业
384,negative,/negative/,adj.,负面的
385,threaten,/threaten/,v./n.,威胁
386,steal,/steal/,adj.,窃取
387,profound,/profound/,adj.,深刻的
388,cautious,/cautious/,adj.,警惕
389,correct,/correct/,adj.,正确的
390,team,/team/,v./n.,团队
391,loyalty,/loyalty/,v./n.,忠诚
392,mechanism,/mechanism/,v./n.,机制
393,inspire,/inspire/,v./n.,激励
394,delegate,/delegate/,v.,授权
395,reward,/reward/,v./n.,奖励
396,foundation,/foundation/,n.,基础
397,enhance,/enhance/,n.,提升
398,range,/range/,v./n.,范围
399,balance,/balance/,n.,平衡
400,solve,/solve/,v./n.,解决
401,goal,/goal/,adj.,目标
402,change,/change/,v./n.,改变
403,achievement,/achievement/,n.,成就
404,empty,/empty/,adj.,空虚的
405,success,/success/,v./n.,成功
406,gratitude,/gratitude/,v./n.,感激
407,distinct,/distinct/,adj.,明显的
408,compensate,/compensate/,v.,补偿
409,confuse,/confuse/,v./n.,迷茫
410,fuel,/fuel/,v./n.,燃料
411,fresh,/fresh/,adj.,崭新的
412,crown,/crown/,v./n.,王冠
413,claim,/claim/,v./n.,夺取
414,stable,/stable/,adj.,稳定
415,development,/development/,n.,发展
416,rational,/rational/,adj.,理性的
417,advance,/advance/,n.,提前
418,competitive,/competitive/,adj.,竞争的
419,contest,/contest/,v./n.,竞争
420,dawn,/dawn/,v./n.,黎明
421,sufficient,/sufficient/,adj.,充分的
422,dominate,/dominate/,v.,主导
423,variety,/variety/,v./n.,多样
424,verify,/verify/,v.,验证
425,competitor,/competitor/,v./n.,竞争对手
426,database,/database/,v./n.,数据库
427,compare,/compare/,v./n.,比较
428,phenomenon,/phenomenon/,v./n.,现象
429,survive,/survive/,adj.,生存
430,patience,/patience/,n.,耐心
431,insight,/insight/,v./n.,洞察力
432,prospect,/prospect/,v./n.,前景
433,efficient,/efficient/,adj.,高效的
434,intensive,/intensive/,adj.,密集的
435,core,/core/,v./n.,核心
436,discussion,/discussion/,n.,讨论
437,blueprint,/blueprint/,v./n.,蓝图
438,ambitious,/ambitious/,adj.,有雄心的
439,brilliant,/brilliant/,adj.,出色的
440,influence,/influence/,n.,影响力
441,leader,/leader/,v./n.,领导者
442,essential,/essential/,adj.,必要的
443,product,/product/,v./n.,产品
444,specific,/specific/,adj.,明确的
445,prioritize,/prioritize/,v.,优先
446,creative,/creative/,adj.,创造性的
447,flexible,/flexible/,adj.,灵活的
448,coverage,/coverage/,v./n.,覆盖
449,service,/service/,v./n.,服务
450,maximize,/maximize/,v.,最大化
451,strategic,/strategic/,adj.,战略性的
452,carefully,/carefully/,adv.,精心
453,position,/position/,n.,定位
454,reflect,/reflect/,v./n.,反映
455,procedure,/procedure/,v./n.,过程
456,anxious,/anxious/,adj.,焦虑
457,soothe,/soothe/,v./n.,安抚
458,cooperate,/cooperate/,v.,合作
459,barrier,/barrier/,v./n.,障碍
460,brainstorm,/brainstorm/,v./n.,头脑风暴
461,mutual,/mutual/,adj.,相互的
462,establish,/establish/,v./n.,建立
463,prototype,/prototype/,v./n.,原型
464,evaluation,/evaluation/,n.,评估
465,enthusiastic,/enthusiastic/,v./n.,热情
466,treasure,/treasure/,v./n.,财富
467,trial,/trial/,adj.,试
468,imitate,/imitate/,v.,模仿
469,hostile,/hostile/,adj.,敌对的
470,anticipate,/anticipate/,v.,预料
471,technology,/technology/,v./n.,技术
472,secure,/secure/,v./n.,安全
473,intellectual,/intellectual/,adj.,知识产权
474,transparent,/transparent/,adj.,透明的
475,essence,/essence/,n.,本质
476,stimulate,/stimulate/,v.,激发
477,collaboration,/collaboration/,n.,合作
478,synergy,/synergy/,v./n.,协同效应
479,formulate,/formulate/,v.,制定
480,index,/index/,v./n.,指标
481,measure,/measure/,v./n.,衡量
482,progress,/progress/,v./n.,进展
483,transformation,/transformation/,n.,转型
484,sustain,/sustain/,v./n.,持续
485,promote,/promote/,v./n.,推进
486,premium,/premium/,adj.,优质的
487,flow,/flow/,v./n.,流量
488,sale,/sale/,v./n.,销售
489,unique,/unique/,adj.,独特的
490,achieve,/achieve/,v./n.,实现
491,campus,/campus/,v./n.,校园
492,diploma,/diploma/,v./n.,毕业证书
493,uncertainty,/uncertainty/,v./n.,不确定
494,application,/application/,n.,申请
495,recruit,/recruit/,v./n.,招聘
496,commercial,/commercial/,adj.,商业
497,qualification,/qualification/,n.,资格
498,diverse,/diverse/,adj.,多样的
499,commitment,/commitment/,n.,承诺
500,offer,/offer/,v./n.,录用通知
501,probation,/probation/,n.,试用期
502,career,/career/,v./n.,职业发展
503,sunlight,/sunlight/,v./n.,阳光
504,shock,/shock/,v./n.,震撼
505,guide,/guide/,v./n.,指引
506,regulation,/regulation/,n.,规章
507,welfare,/welfare/,v./n.,福利
508,document,/document/,n.,文件
509,introduce,/introduce/,v./n.,介绍
510,intern,/intern/,v./n.,实习生
511,applicant,/applicant/,v./n.,申请人
512,seat,/seat/,v./n.,座位
513,environment,/environment/,n.,环境
514,supply,/supply/,adv.,供应品
515,task,/task/,v./n.,任务
516,information,/information/,n.,信息
517,attentive,/attentive/,adj.,专注的
518,rhythm,/rhythm/,v./n.,节奏
519,colleague,/colleague/,v./n.,同事
520,integrate,/integrate/,v.,融入
521,assignment,/assignment/,n.,任务
522,observe,/observe/,v./n.,观察
523,contrast,/contrast/,v./n.,差异
524,learn,/learn/,v./n.,学习
525,key,/key/,v./n.,关键
526,attitude,/attitude/,v./n.,态度
527,relationship,/relationship/,v./n.,关系
528,culture,/culture/,v./n.,文化
529,initiative,/initiative/,adj.,主动性
530,deadline,/deadline/,v./n.,截止日期
531,deliver,/deliver/,v./n.,交付
532,study,/study/,v./n.,学习
533,skill,/skill/,v./n.,技能
534,horizon,/horizon/,v./n.,视野
535,communicate,/communicate/,v.,沟通
536,guidance,/guidance/,n.,指导
537,persistence,/persistence/,n.,坚持
538,competent,/competent/,adj.,有能力的
539,profession,/profession/,n.,职业
540,improvement,/improvement/,n.,改进
541,sudden,/sudden/,adj.,突然的
542,target,/target/,v./n.,针对
543,bully,/bully/,adv.,霸凌
544,unfair,/unfair/,adj.,不公平的
545,injustice,/injustice/,v./n.,不公正
546,tone,/tone/,v./n.,语气
547,sarcasm,/sarcasm/,v./n.,讽刺
548,mockery,/mockery/,v./n.,嘲笑
549,hurt,/hurt/,v./n.,伤害
550,frustrate,/frustrate/,v.,沮丧
551,handle,/handle/,v./n.,处理
552,psychological,/psychological/,adj.,心理的
553,positive,/positive/,adj.,积极的
554,temporary,/temporary/,adj.,暂时的
555,hardship,/hardship/,v./n.,艰难
556,encourage,/encourage/,v./n.,鼓励
557,defense,/defense/,v./n.,防线
558,criticize,/criticize/,v.,批评
559,harsh,/harsh/,adj.,严厉的
560,embarrass,/embarrass/,v./n.,使尴尬
561,humiliation,/humiliation/,n.,羞辱
562,public,/public/,adj.,公开的
563,insult,/insult/,v./n.,侮辱
564,remark,/remark/,v./n.,言论
565,incompetent,/incompetent/,adj.,无能的
566,unqualified,/unqualified/,adj.,不合格的
567,label,/label/,v./n.,标签
568,verbal,/verbal/,adj.,言语的
569,harassment,/harassment/,n.,骚扰
570,inferior,/inferior/,adj.,低等的
571,worthless,/worthless/,adj.,无价值的
572,relation,/relation/,n.,关系
573,sacrifice,/sacrifice/,v./n.,牺牲
574,whisper,/whisper/,v./n.,低语
575,FALSE,/false/,adj.,虚假的
576,insufficient,/insufficient/,adj.,不足的
577,spread,/spread/,v./n.,传播
578,malicious,/malicious/,adj.,恶意的
579,slander,/slander/,v./n.,诽谤
580,isolate,/isolate/,v.,孤立
581,complicate,/complicate/,v.,复杂
582,exclude,/exclude/,v./n.,排挤
583,unwelcome,/unwelcome/,adj.,不受欢迎的
584,discriminate,/discriminate/,v.,歧视
585,helpless,/helpless/,adj.,无助
586,standard,/standard/,v./n.,标准
587,uncertain,/uncertain/,adj.,不确定的
588,artificial,/artificial/,adj.,人为的
589,tactic,/tactic/,v./n.,策略
590,means,/means/,v./n.,手段
591,incapable,/incapable/,adj.,无能力的
592,obvious,/obvious/,adj.,明显的
593,affect,/affect/,v./n.,影响
594,recall,/recall/,v./n.,回想
595,mental,/mental/,adj.,精神的
596,burden,/burden/,v./n.,负担
597,physical,/physical/,adj.,身体的
598,symptom,/symptom/,v./n.,症状
599,damage,/damage/,v./n.,损害
600,suggestion,/suggestion/,n.,建议
601,avoid,/avoid/,v./n.,逃避
602,cope,/cope/,v./n.,应对
603,regulate,/regulate/,v.,调节
604,breathe,/breathe/,v./n.,呼吸
605,pause,/pause/,v./n.,暂停
606,journal,/journal/,adj.,日记
607,therapy,/therapy/,v./n.,治疗
608,release,/release/,v./n.,释放
609,seek,/seek/,v./n.,寻求
610,advice,/advice/,v./n.,建议
611,organizational,/organizational/,adj.,组织的
612,mention,/mention/,n.,提及
613,shameless,/shameless/,adj.,无耻的
614,harm,/harm/,v./n.,伤害
615,strengthen,/strengthen/,v./n.,加强
616,method,/method/,v./n.,方法
617,gather,/gather/,v./n.,收集
618,interaction,/interaction/,n.,互动
619,witness,/witness/,n.,证人
620,evidence,/evidence/,n.,证据
621,written,/written/,adj.,书面的
622,deny,/deny/,v./n.,否认
623,distort,/distort/,v./n.,歪曲
624,perseverance,/perseverance/,n.,坚持
625,result,/result/,v./n.,结果
626,participate,/participate/,v.,参与
627,recognition,/recognition/,n.,认可
628,build,/build/,v./n.,建立
629,connect,/connect/,v./n.,联系
630,warm,/warm/,adj.,热情的
631,sympathize,/sympathize/,v.,同情
632,authority,/authority/,n.,权威
633,sincere,/sincere/,v./n.,真诚
634,gradually,/gradually/,adv.,逐渐
635,mentor,/mentor/,v./n.,导师
636,serious,/serious/,adj.,严重的
637,policy,/policy/,v./n.,政策
638,HR,/HR/,v./n.,人力资源部门
639,incident,/incident/,v./n.,事件
640,impact,/impact/,v./n.,影响
641,warn,/warn/,v./n.,警告
642,discipline,/discipline/,v./n.,纪律处分
643,outcome,/outcome/,v./n.,结果
644,relieve,/relieve/,v./n.,释然
645,admire,/admire/,v./n.,钦佩
646,behavior,/behavior/,v./n.,行为
647,fair,/fair/,adj.,公平的
648,arrogant,/arrogant/,v./n.,傲慢
649,humble,/humble/,adj.,谦逊的
650,willpower,/willpower/,v./n.,意志力
651,principle,/principle/,v./n.,原则
652,integrity,/integrity/,n.,正直
653,intelligence,/intelligence/,n.,智力
654,lesson,/lesson/,v./n.,教训
655,brave,/brave/,v./n.,勇敢
656,step,/step/,v./n.,步骤
657,justice,/justice/,v./n.,正义
658,light,/light/,v./n.,光明
659,vibrant,/vibrant/,adj.,充满活力的
660,excitement,/excitement/,n.,兴奋
661,university,/university/,n.,大学
662,architecture,/architecture/,v./n.,建筑
663,charm,/charm/,v./n.,魅力
664,flutter,/flutter/,v./n.,飘动
665,prestigious,/prestigious/,adj.,享有声望的
666,plaza,/plaza/,v./n.,广场
667,anticipation,/anticipation/,n.,期待
668,booth,/booth/,v./n.,摊位
669,volunteer,/volunteer/,v./n.,志愿者
670,admission,/admission/,n.,入学
671,special,/special/,adj.,特殊的
672,unfamiliar,/unfamiliar/,adj.,陌生的
673,remote,/remote/,adj.,偏远的
674,unknown,/unknown/,adj.,未知的
675,direction,/direction/,n.,方向
676,massive,/massive/,adj.,巨大的
677,overwhelm,/overwhelm/,v./n.,不知所措
678,location,/location/,n.,地点
679,panic,/panic/,v./n.,恐慌
680,building,/building/,v./n.,建筑
681,attractive,/attractive/,adj.,吸引人的
682,landscape,/landscape/,v./n.,风景
683,lonely,/lonely/,adv.,孤独的
684,inquire,/inquire/,v./n.,询问
685,junction,/junction/,n.,交叉口
686,figure,/figure/,v./n.,身影
687,apologize,/apologize/,v.,道歉
688,accelerate,/accelerate/,v.,加速
689,kindness,/kindness/,n.,善良
690,polite,/polite/,adj.,礼貌的
691,breeding,/breeding/,v./n.,教养
692,handsome,/handsome/,v./n.,英俊
693,relax,/relax/,v./n.,放松
694,confusion,/confusion/,n.,困惑
695,confident,/confident/,adj.,自信的
696,scenery,/scenery/,v./n.,景观
697,ideal,/ideal/,adj.,理想的
698,laboratory,/laboratory/,v./n.,实验室
699,function,/function/,n.,功能
700,tradition,/tradition/,n.,传统
701,outstanding,/outstanding/,adj.,杰出的
702,care,/care/,v./n.,关心
703,profile,/profile/,v./n.,侧面
704,ripple,/ripple/,v./n.,涟漪
705,item,/item/,v./n.,项目
706,student,/student/,v./n.,学生
707,scholarship,/scholarship/,v./n.,奖学金
708,personality,/personality/,n.,性格
709,humorous,/humorous/,adj.,幽默
710,friendship,/friendship/,v./n.,友谊
711,hobby,/hobby/,v./n.,爱好
712,harmony,/harmony/,v./n.,和谐
713,expression,/expression/,n.,表情
714,orientation,/orientation/,n.,新生指导
715,purchase,/purchase/,v./n.,购买
716,moment,/moment/,n.,时刻
717,encounter,/encounter/,v./n.,遇见
718,delight,/delight/,v./n.,喜悦
719,motivation,/motivation/,n.,动力
720,poetic,/poetic/,adj.,诗意的
721,knowledge,/knowledge/,v./n.,知识
722,illustration,/illustration/,n.,例子
